Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,5005078810.805325,3899445210.1484895,1119793939.7346807,1764584559.2771466,1755800514.2784827,1410119384.5587096,2015386928.6706104,1306548898.6025844,2171112304.7781606,1277164939.308925,4290784963.891802,1963730638.446907,2307706317.9781156,1015525385.6679744,2400779785.524417,1022676754.7688216,2690979694.5037746,881174691.0523376,6358057435.321958,398335534.20551306,981393711884.1765,26716379772464.844 
February,4911496426.091059,3161771841.954041,1206542681.8311522,1428461901.324926,1773848500.422081,1136664174.5205977,1989313596.8295407,1050456106.0173278,2113679215.259734,1004265376.617333,4202240043.5004416,1578863684.4961607,2346692150.3879633,881970150.2903347,2408499068.0686088,865477433.9558538,2672882986.3335767,698623585.1881725,6167487183.108107,251007216.02447066,907027094925.7616,26554387197405.965 
March,2683320910.8738165,7547634653.995258,502279747.70917875,3751083833.8762646,847524647.6687014,3283031577.7911124,996106941.8102053,3147588063.128511,1067837226.7161257,3064429712.675447,2198863511.6506324,5375628149.877944,1158940376.7070215,2712434919.125026,1226337340.7685587,2688788186.9509034,1393686054.510624,2466239499.636885,3889732164.452067,1553736864.4021814,937931383134.0304,19741671319477.15 
April,967979930.4626228,10692686280.169079,185973972.20180145,5246735578.031597,260576334.24807513,4538173895.160326,307473783.4453441,4342066862.908484,336843471.92588013,4249152046.4595757,628312721.9283755,7398453003.827562,353812988.77734935,3806951769.099471,370212541.3353478,3724787439.693254,468950460.3327929,3502226384.0927725,1767528185.2796485,2575531715.882053,842313130451.4482,12302833968699.264 
May,319477532.19914275,15892168438.711,95384697.56290868,7741770113.256873,126366953.68366711,6827836508.707922,164071987.66584936,6627463827.494769,166013834.98557884,6555302200.355408,265837700.96330097,11571563713.576998,163989746.29424393,6007826501.431967,173610425.8072931,5903156469.488792,201714735.53808105,5615749721.290977,518876373.1797535,4807507122.292797,912276148276.632,5116109845022.94 
June,152794793.45979437,18710533492.026295,62659746.98122372,9160298015.587643,158402072.29275995,7932116923.560833,156306850.7325518,7785307882.542322,158733487.64477396,7760084522.799897,321673156.9519963,13891313103.444357,174975319.05888632,7219489510.257241,177487010.9467751,7124859427.33569,186476585.3072562,6911050547.934009,192390771.0089581,6343403710.430037,1061586981552.3525,1591824783586.7412 
July,1036382203.521107,21574026013.93511,531235370.48835474,10834457228.051788,850390483.901633,9154542021.86254,853526315.7422706,9060650598.419132,857493494.0618653,9034780909.129751,1765305877.687727,16506523369.417805,961137173.8917546,8580115510.625206,972403806.9877559,8506219747.827799,985423552.2036633,8339255420.399724,949508810.0324644,7823733883.116287,1470628316720.9678,249335760518.1266 
August,109357246.867632,21338479155.17199,64075422.441765964,10389929818.34102,182129801.76270318,9038609189.172045,191148694.52494746,8895861189.6517,180539479.96572047,8875421640.805346,374825715.5500851,16035631744.123459,201148417.24929348,8323315407.635087,199873605.9592572,8238560706.131451,196110312.33714306,8064665789.594632,201247816.41332328,7799128606.830826,1159940832323.0085,742859948371.3726 
September,157750082.2767777,18910608666.26497,52685024.0474602,8984844764.630222,76465903.48630394,7858437203.252316,81274074.42664674,7677638018.328044,85514629.88965346,7653591751.698489,149533736.93572527,13607551264.64204,90532889.71172154,7084123482.644778,88353797.42190112,6993274223.210247,98910881.25974542,6798813457.133578,130629240.2457268,6383830337.635162,918955203367.3354,3468388753446.0396 
October,334906964.09931153,15085394365.951027,104537140.2369231,7126622432.528511,139914127.69110605,6260574300.600985,154707131.6208924,6028843066.119977,164001037.17863432,5959201937.2553835,293478866.37466604,10447814026.391998,170455244.3731142,5428168412.868322,183508435.41587242,5333802483.433388,222812323.91621476,5102847090.813076,583507670.2414589,4433647610.975289,849649353511.5365,8868796552627.152 
